Ticket_ID,Created_Date,Created_Hour,Country,Day_Type,Priority,Source,Topic,Product_Group,Agent_Group,Agent,Status,First_Response_Min,Resolution_Hours,CSAT
TKT-6001,2025-01-01,0,Netherlands,Workday,Low,Email,Product setup,Ready-to-use software,Tier 1,A. Khan,Closed,63,23,2.7
TKT-6002,2025-02-06,7,France,Workday,Medium,Phone,Feature request,Custom development,Specialists,H. Martin,Closed,21,14,3.4
TKT-6003,2025-03-11,14,Italy,Workday,High,Chat,Bug report,Training services,Tier 2,F. Rossi,Closed,34,25,4.1
TKT-6004,2025-04-16,21,Netherlands,Workday,Critical,Portal,Pricing & licensing,Integrations,Tier 1,D. Garcia,Closed,47,8,4.8
TKT-6005,2025-05-21,4,France,Workday,Low,Email,Purchasing & invoicing,Other,Specialists,B. Smith,Closed,10,19,3.2
TKT-6006,2025-06-26,11,Italy,Workday,Medium,Phone,Product setup,Ready-to-use software,Tier 2,I. Kowalski,Closed,23,50,3.9
TKT-6007,2025-07-04,18,Netherlands,Workday,High,Chat,Feature request,Custom development,Tier 1,G. de Vries,Open,36,13,
TKT-6008,2025-08-09,1,France,Weekend,Critical,Portal,Bug report,Training services,Specialists,E. Müller,Open,49,24,
TKT-6009,2025-09-14,8,Belgium,Weekend,Low,Email,Pricing & licensing,Integrations,Tier 2,C. Chen,Closed,67,7,3.7
TKT-6010,2025-10-19,15,Netherlands,Weekend,Medium,Phone,Purchasing & invoicing,Other,Tier 1,A. Khan,Closed,25,18,4.4
TKT-6011,2025-11-24,22,United Kingdom,Workday,High,Chat,Product setup,Ready-to-use software,Specialists,H. Martin,Closed,38,49,2.8
TKT-6012,2025-12-02,5,Switzerland,Workday,Critical,Portal,Feature request,Custom development,Tier 2,F. Rossi,Closed,51,12,3.5
TKT-6013,2025-01-07,12,Germany,Workday,Low,Email,Bug report,Training services,Tier 1,D. Garcia,Closed,14,23,4.2
TKT-6014,2025-02-12,19,United Kingdom,Workday,Medium,Phone,Pricing & licensing,Integrations,Specialists,B. Smith,Closed,27,6,4.9
TKT-6015,2025-03-17,2,Austria,Workday,High,Chat,Purchasing & invoicing,Other,Tier 2,I. Kowalski,Open,40,17,
TKT-6016,2025-04-22,9,Germany,Workday,Critical,Portal,Product setup,Ready-to-use software,Tier 1,G. de Vries,Open,53,48,
TKT-6017,2025-05-27,16,Spain,Workday,Low,Email,Feature request,Custom development,Specialists,E. Müller,Closed,71,11,4.7
TKT-6018,2025-06-05,23,Poland,Workday,High,Phone,Bug report,Training services,Tier 2,C. Chen,Closed,29,22,3.1
TKT-6019,2025-07-10,6,Germany,Workday,Critical,Chat,Pricing & licensing,Integrations,Tier 1,A. Khan,Closed,42,5,3.8
TKT-6020,2025-08-15,13,Spain,Workday,Low,Portal,Purchasing & invoicing,Other,Specialists,H. Martin,Closed,55,16,4.5
TKT-6021,2025-09-20,20,Netherlands,Weekend,Medium,Email,Product setup,Ready-to-use software,Tier 2,F. Rossi,Closed,18,47,2.9
TKT-6022,2025-10-25,3,France,Weekend,High,Phone,Feature request,Custom development,Tier 1,D. Garcia,Closed,31,10,3.6
TKT-6023,2025-11-03,10,Italy,Workday,Critical,Chat,Bug report,Training services,Specialists,B. Smith,Open,44,21,
TKT-6024,2025-12-08,17,Netherlands,Workday,Low,Portal,Pricing & licensing,Integrations,Tier 2,I. Kowalski,Open,57,4,
TKT-6025,2025-01-13,0,France,Workday,Medium,Email,Purchasing & invoicing,Other,Tier 1,G. de Vries,Closed,75,15,3.4
TKT-6026,2025-02-18,7,Italy,Workday,High,Phone,Product setup,Ready-to-use software,Specialists,E. Müller,Closed,33,46,4.1
TKT-6027,2025-03-23,14,Netherlands,Weekend,Critical,Chat,Feature request,Custom development,Tier 2,C. Chen,Closed,46,9,4.8
TKT-6028,2025-04-01,21,France,Workday,Low,Portal,Bug report,Training services,Tier 1,A. Khan,Closed,9,20,3.2
TKT-6029,2025-05-06,4,Belgium,Workday,Medium,Email,Pricing & licensing,Integrations,Specialists,H. Martin,Closed,22,3,3.9
TKT-6030,2025-06-11,11,Netherlands,Workday,High,Phone,Purchasing & invoicing,Other,Tier 2,F. Rossi,Closed,35,14,4.6
TKT-6031,2025-07-16,18,United Kingdom,Workday,Critical,Chat,Product setup,Ready-to-use software,Tier 1,D. Garcia,Open,48,45,
TKT-6032,2025-08-21,1,Switzerland,Workday,Low,Portal,Feature request,Custom development,Specialists,B. Smith,Closed,11,8,3.7
TKT-6033,2025-09-26,8,Germany,Workday,Medium,Email,Bug report,Training services,Tier 2,I. Kowalski,Closed,79,19,4.4
TKT-6034,2025-10-04,15,United Kingdom,Weekend,High,Phone,Pricing & licensing,Integrations,Tier 1,G. de Vries,Closed,37,30,2.8
TKT-6035,2025-11-09,22,Austria,Weekend,Low,Chat,Purchasing & invoicing,Other,Specialists,E. Müller,Closed,50,13,3.5
TKT-6036,2025-12-14,5,Germany,Weekend,Medium,Portal,Product setup,Ready-to-use software,Tier 2,C. Chen,Closed,13,44,4.2
TKT-6037,2025-01-19,12,Spain,Weekend,High,Email,Feature request,Custom development,Tier 1,A. Khan,Closed,26,7,4.9
TKT-6038,2025-02-24,19,Poland,Workday,Critical,Phone,Bug report,Training services,Specialists,H. Martin,Open,39,18,
TKT-6039,2025-03-02,2,Germany,Weekend,Low,Chat,Pricing & licensing,Integrations,Tier 2,F. Rossi,Open,52,29,
TKT-6040,2025-04-07,9,Spain,Workday,Medium,Portal,Purchasing & invoicing,Other,Tier 1,D. Garcia,Closed,15,12,4.7
TKT-6041,2025-05-12,16,Netherlands,Workday,High,Email,Product setup,Ready-to-use software,Specialists,B. Smith,Closed,83,43,3.1
TKT-6042,2025-06-17,23,France,Workday,Critical,Phone,Feature request,Custom development,Tier 2,I. Kowalski,Closed,41,6,3.8
TKT-6043,2025-07-22,6,Italy,Workday,Low,Chat,Bug report,Training services,Tier 1,G. de Vries,Closed,54,17,4.5
TKT-6044,2025-08-27,13,Netherlands,Workday,Medium,Portal,Pricing & licensing,Integrations,Specialists,E. Müller,Closed,17,28,2.9
TKT-6045,2025-09-05,20,France,Workday,High,Email,Purchasing & invoicing,Other,Tier 2,C. Chen,Closed,30,11,3.6
TKT-6046,2025-10-10,3,Italy,Workday,Critical,Phone,Product setup,Ready-to-use software,Tier 1,A. Khan,Open,43,42,
TKT-6047,2025-11-15,10,Netherlands,Weekend,Low,Chat,Feature request,Custom development,Specialists,H. Martin,Open,56,5,
TKT-6048,2025-12-20,17,France,Weekend,Medium,Portal,Bug report,Training services,Tier 2,F. Rossi,Closed,19,16,3.4
TKT-6049,2025-01-25,0,Belgium,Weekend,High,Email,Pricing & licensing,Integrations,Tier 1,D. Garcia,Closed,87,27,4.1
TKT-6050,2025-02-03,7,Netherlands,Workday,Critical,Phone,Purchasing & invoicing,Other,Specialists,B. Smith,Closed,45,10,4.8
TKT-6051,2025-03-08,14,United Kingdom,Weekend,Low,Chat,Product setup,Ready-to-use software,Tier 2,I. Kowalski,Closed,8,41,3.2
TKT-6052,2025-04-13,21,Switzerland,Weekend,High,Portal,Feature request,Custom development,Tier 1,G. de Vries,Closed,21,4,3.9
TKT-6053,2025-05-18,4,Germany,Weekend,Critical,Email,Bug report,Training services,Specialists,E. Müller,Closed,34,15,4.6
TKT-6054,2025-06-23,11,United Kingdom,Workday,Low,Phone,Pricing & licensing,Integrations,Tier 2,C. Chen,Open,47,26,
TKT-6055,2025-07-01,18,Austria,Workday,Medium,Chat,Purchasing & invoicing,Other,Tier 1,A. Khan,Closed,10,9,3.7
TKT-6056,2025-08-06,1,Germany,Workday,High,Portal,Product setup,Ready-to-use software,Specialists,H. Martin,Closed,23,40,4.4
TKT-6057,2025-09-11,8,Spain,Workday,Critical,Email,Feature request,Custom development,Tier 2,F. Rossi,Closed,91,3,2.8
TKT-6058,2025-10-16,15,Poland,Workday,Low,Phone,Bug report,Training services,Tier 1,D. Garcia,Closed,49,14,3.5
TKT-6059,2025-11-21,22,Germany,Workday,Medium,Chat,Pricing & licensing,Integrations,Specialists,B. Smith,Closed,12,25,4.2
TKT-6060,2025-12-26,5,Spain,Workday,High,Portal,Purchasing & invoicing,Other,Tier 2,I. Kowalski,Closed,25,8,4.9
TKT-6061,2025-01-04,12,Netherlands,Weekend,Critical,Email,Product setup,Ready-to-use software,Tier 1,G. de Vries,Open,38,39,
TKT-6062,2025-02-09,19,France,Weekend,Low,Phone,Feature request,Custom development,Specialists,E. Müller,Open,51,30,
TKT-6063,2025-03-14,2,Italy,Workday,Medium,Chat,Bug report,Training services,Tier 2,C. Chen,Closed,14,13,4.7
TKT-6064,2025-04-19,9,Netherlands,Weekend,High,Portal,Pricing & licensing,Integrations,Tier 1,A. Khan,Closed,27,24,3.1
TKT-6065,2025-05-24,16,France,Weekend,Critical,Email,Purchasing & invoicing,Other,Specialists,H. Martin,Closed,95,7,3.8
TKT-6066,2025-06-02,23,Italy,Workday,Low,Phone,Product setup,Ready-to-use software,Tier 2,F. Rossi,Closed,53,38,4.5
TKT-6067,2025-07-07,6,Netherlands,Workday,Medium,Chat,Feature request,Custom development,Tier 1,D. Garcia,Closed,16,29,2.9
TKT-6068,2025-08-12,13,France,Workday,High,Portal,Bug report,Training services,Specialists,B. Smith,Closed,29,12,3.6
TKT-6069,2025-09-17,20,Belgium,Workday,Low,Email,Pricing & licensing,Integrations,Tier 2,I. Kowalski,Open,42,23,
TKT-6070,2025-10-22,3,Netherlands,Workday,Medium,Phone,Purchasing & invoicing,Other,Tier 1,G. de Vries,Open,55,6,
TKT-6071,2025-11-27,10,United Kingdom,Workday,High,Chat,Product setup,Ready-to-use software,Specialists,E. Müller,Closed,18,37,3.4
TKT-6072,2025-12-05,17,Switzerland,Workday,Critical,Portal,Feature request,Custom development,Tier 2,C. Chen,Closed,31,28,4.1
TKT-6073,2025-01-10,0,Germany,Workday,Low,Email,Bug report,Training services,Tier 1,A. Khan,Closed,99,11,4.8
TKT-6074,2025-02-15,7,United Kingdom,Weekend,Medium,Phone,Pricing & licensing,Integrations,Specialists,H. Martin,Closed,57,22,3.2
TKT-6075,2025-03-20,14,Austria,Workday,High,Chat,Purchasing & invoicing,Other,Tier 2,F. Rossi,Closed,20,5,3.9
TKT-6076,2025-04-25,21,Germany,Workday,Critical,Portal,Product setup,Ready-to-use software,Tier 1,D. Garcia,Closed,33,36,4.6
TKT-6077,2025-05-03,4,Spain,Weekend,Low,Email,Feature request,Custom development,Specialists,B. Smith,Open,46,27,
